guid,name,Estudos,Consulta Pública,Aviso/TCU,Edital
ecd74fa2-d64d-42ca-bb9a-a6dbe4dbfef5,2º Leilão de Transmissão de Energia 2026,Not Available,Not Available,Not Available,Not Available
d9463ed7-caf9-44cf-812f-f9be35dfa3d2,3º Ciclo de Oferta Permanente no regime de partilha,Completed,Completed,Not started,Not started
c5dd423a-0cfd-4e36-8fd9-03bb18dc250e,"Aeroporto Internacional de Viracopos, em Campinas/SP (relicitação)",Completed,Completed,Not started,Not started
f2811aa8-a620-4d91-bb8f-8ed1481a9a94,5º leilão de óleo e gás da PPSA,Not started,Not started,Not started,Not started
022ea245-c8f4-440a-9a1b-2aa0e2f523fd,Apoio &#224; Visita&#231;&#227;o e &#224; Conserva&#231;&#227;o de &#225;rea de Fernando de Noronha/PE,Not Available,Not Available,Not Available,Not Available
3d228904-a18a-4f94-b5ef-710a2df6bcc2,Antigo Aeroporto de Vit&#243;ria da Conquista,Not Available,Not Available,Not Available,Not Available
fbf64536-0ab5-49bd-8d69-d9d1dc145c7a,Api test 1,Not Available,Not Available,Not Available,Not Available
7f98f52b-0417-4a84-a60b-23104b8352e1,1º LEILÃO DE TRANSMISSÃO DE ENERGIA 2025,In progress,Not started,Not started,Not started
e2f2d536-8b26-4c34-ba6d-0d4e8993af3e,Antigo Aeroporto Carlos Prates - Belo Horizonte/MG,Not Available,Not Available,Not Available,Not Available
33839d16-e8d5-4953-9106-6807bf9fb0f7,Antiga Estação Ferroviária de Diamantina/MG,In progress,Not started,Not started,Not started
5731cec4-2028-4351-8f6c-23301ef6ba4b,Aeroporto de Santos Dumont/RJ,In progress,Not started,Not started,Not started
8d2bfbb1-1ab5-43ec-bcb4-8b45c530455d,&#193;reas do Centro de Instru&#231;&#227;o de Guerra na Selva do Ex&#233;rcito Brasileiro,In progress,Not started,Not started,Not started
90f37771-7341-47d3-afa5-a9816ba34054,Aeroporto do Galeão/RJ,In progress,Not started,Not started,Not started
354cb321-88dd-49bc-9fb6-6afb08ccb261,5º Ciclo de Oferta Permanente no regime de concessão,Completed,Not started,Completed,In progress
bdd8bd47-218f-445f-a795-72eefc900b3c,1º Leilão de Transmissão de Energia 2026,Not Available,Not Available,Not Available,Not Available
83410882-d8f2-4f75-a3ef-1d260041f508,BR-116/BA/PE - Rota dos Sert&#245;es,Completed,Completed,Not started,Not started
a16279f3-1118-49bf-87ac-203e9d49d4fe,Barragem do Po&#231;o do Magro (Codeasf),Not Available,Not Available,Not Available,Not Available
344d2b96-3348-41d9-a477-64ca11b44b2b,Baixo Acara&#250;/CE,Not Available,Not Available,Not Available,Not Available
705bc6a1-682d-44ad-bfd2-3a8260687487,BR-060/364/GO/MT - CN2 - Rota do Agro,Completed,Completed,Completed,Completed
e7ea53ca-5a51-4387-9719-c02f84feafd2,"CODEBA e Portos Organizados de Salvador, Aratu-Candeias e Ilhéus",Completed,Not started,Not started,Not started
ad90c00e-f42d-4417-b3ee-eba9b77c326a,Cons&#243;rcio CONSUD,Not Available,Not Available,Not Available,Not Available
56e91a40-09ed-4e76-84f8-6ad7119a3ba5,BR-116/158/392/290/RS - Rota Integração do Sul,Completed,Completed,Not started,Not started
de84ed77-2133-411e-8a18-7c647c0e999d,BR-060/153/040/DF/GO (relicitação),In progress,Not started,Not started,Not started
8d191d82-7d1e-47d9-9f25-a580984292ad,BR-070/174/364/MT/RO - CN3 - Rota Agro Central,Completed,Completed,Not started,Not started
95ba3705-8488-460a-a02a-7f408dba33a3,BR-101/ES/BA (Otimização ECO101),Completed,Completed,Completed,Completed
c9b9363d-d6c8-4e33-8d4b-3f27312a0f37,"CBTU - estudos de mobilidade das praças de Natal, João Pessoa e Maceió",In progress,Not started,Not started,Not started
453744dc-0465-4c51-b331-1d441f71c87e,Barragens da Codevasf,Not Available,Not Available,Not Available,Not Available
7d8495bd-6f12-4ecd-bb15-eac57721af9f,Barragem de Zabumb&#227;o (Codevasf),Not Available,Not Available,Not Available,Not Available
1244649e-5a92-4d13-b21f-cea81fc2a75f,BR-158/155/MT/PA,In progress,Not started,Not started,Not started
52941c04-f840-4517-934d-d12418bf4cd2,Barragem de Riacho do Paulo (DNOCS),Not Available,Not Available,Not Available,Not Available
