guid,Edital,TCU,Consulta Pública,Estudos,Situação do Contrato,Data do Contrato,Data Início Licitação,Data Fim Licitação,Status Fase Licitação,Status Consulta Pública,Status Estudos,Data Início Consulta Pública,Questões Chaves,Data Fim Controle Externo,Status,Data Início Controle Externo,Próximas Etapas,Data Fim Estudos,Data Fim Consulta Pública,Status Controle Externo,Status Aviso Licitação,Data Publicação Aviso Licitação,Data Início Estudos
fbf64536-0ab5-49bd-8d69-d9d1dc145c7a,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
d9463ed7-caf9-44cf-812f-f9be35dfa3d2,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
e2f2d536-8b26-4c34-ba6d-0d4e8993af3e,Erro HTTP 500,Erro HTTP 500,Erro HTTP 500,Erro HTTP 500,Sem dados,Sem dados,Sem dados,Sem dados,Erro HTTP 500,Erro HTTP 500,Erro HTTP 500,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Erro HTTP 500,Erro HTTP 500,Sem dados,Sem dados
e7ea53ca-5a51-4387-9719-c02f84feafd2,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
a16279f3-1118-49bf-87ac-203e9d49d4fe,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
344d2b96-3348-41d9-a477-64ca11b44b2b,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
5731cec4-2028-4351-8f6c-23301ef6ba4b,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
7f98f52b-0417-4a84-a60b-23104b8352e1,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
3d228904-a18a-4f94-b5ef-710a2df6bcc2,Erro HTTP 500,Erro HTTP 500,Erro HTTP 500,Erro HTTP 500,Sem dados,Sem dados,Sem dados,Sem dados,Erro HTTP 500,Erro HTTP 500,Erro HTTP 500,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Erro HTTP 500,Erro HTTP 500,Sem dados,Sem dados
8d2bfbb1-1ab5-43ec-bcb4-8b45c530455d,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
33839d16-e8d5-4953-9106-6807bf9fb0f7,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
90f37771-7341-47d3-afa5-a9816ba34054,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
f2811aa8-a620-4d91-bb8f-8ed1481a9a94,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
ecd74fa2-d64d-42ca-bb9a-a6dbe4dbfef5,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
354cb321-88dd-49bc-9fb6-6afb08ccb261,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
bdd8bd47-218f-445f-a795-72eefc900b3c,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
022ea245-c8f4-440a-9a1b-2aa0e2f523fd,Erro HTTP 500,Erro HTTP 500,Erro HTTP 500,Erro HTTP 500,Sem dados,Sem dados,Sem dados,Sem dados,Erro HTTP 500,Erro HTTP 500,Erro HTTP 500,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Erro HTTP 500,Erro HTTP 500,Sem dados,Sem dados
705bc6a1-682d-44ad-bfd2-3a8260687487,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
c5dd423a-0cfd-4e36-8fd9-03bb18dc250e,Sem dados,Sem dados,Sem dados,Sem dados,Erro HTTP 500,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
83410882-d8f2-4f75-a3ef-1d260041f508,Sem dados,Sem dados,Sem dados,Sem dados,Erro HTTP 500,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Erro HTTP 500,Sem dados,Sem dados,Sem dados
ad90c00e-f42d-4417-b3ee-eba9b77c326a,Erro HTTP 500,Erro HTTP 500,Erro HTTP 500,Erro HTTP 500,Erro HTTP 500,Sem dados,Sem dados,Sem dados,Erro HTTP 500,Erro HTTP 500,Erro HTTP 500,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Erro HTTP 500,Sem dados,Sem dados
56e91a40-09ed-4e76-84f8-6ad7119a3ba5,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
8d191d82-7d1e-47d9-9f25-a580984292ad,Sem dados,Sem dados,Sem dados,Sem dados,Erro HTTP 500,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Erro HTTP 500,Sem dados,Sem dados,Sem dados
1244649e-5a92-4d13-b21f-cea81fc2a75f,Sem dados,Sem dados,Sem dados,Sem dados,Erro HTTP 500,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
de84ed77-2133-411e-8a18-7c647c0e999d,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
95ba3705-8488-460a-a02a-7f408dba33a3,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
